Catcher,Pitcher,Hitter,Pitch type,Thrown strike? (Don't count swings at balls),Swing?,Balls before pitch,Strikes before pitch,Outs,1B occupied?,2B occupied,3B occupied,
,,Dom,Curveball,FALSE,FALSE,0,2,2,FALSE,FALSE,TRUE,
,,Dom,Curveball,FALSE,FALSE,1,2,2,FALSE,FALSE,TRUE,
,,Dom,4-seam fastball,TRUE,TRUE,2,2,2,FALSE,FALSE,TRUE,
Parker,Darius,Horn,Slider,TRUE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,FALSE,FALSE,0,1,0,FALSE,FALSE,FALSE,
,,Horn,Slider,FALSE,FALSE,1,1,0,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,FALSE,FALSE,2,1,0,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,TRUE,TRUE,3,1,0,FALSE,FALSE,FALSE,
,,Dex,4-seam fastball,TRUE,TRUE,0,0,0,TRUE,FALSE,FALSE,
,,B.Burton,Slider,FALSE,FALSE,0,0,0,TRUE,TRUE,FALSE,
,,B.Burton,4-seam fastball,TRUE,TRUE,1,0,1,FALSE,FALSE,FALSE,
,,Jax,Changeup,FALSE,TRUE,0,0,1,FALSE,FALSE,FALSE,
,,Jax,Changeup,FALSE,FALSE,1,0,1,FALSE,FALSE,FALSE,
,,Jax,Changeup,FALSE,FALSE,2,0,1,FALSE,FALSE,FALSE,
,,Jax,4-seam fastball,TRUE,TRUE,2,1,1,FALSE,FALSE,FALSE,
,,Jax,Changeup,TRUE,TRUE,2,2,1,FALSE,FALSE,FALSE,
,,Jax,Changeup,TRUE,TRUE,2,2,1,FALSE,FALSE,FALSE,
,,Jax,4-seam fastball,TRUE,TRUE,2,2,1,FALSE,FALSE,FALSE,
,,Jax,4-seam fastball,FALSE,FALSE,2,2,1,FALSE,FALSE,FALSE,
,,Jax,4-seam fastball,FALSE,FALSE,3,2,1,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,FALSE,FALSE,0,0,1,TRUE,TRUE,TRUE,
,,Dame,4-seam fastball,FALSE,TRUE,1,0,1,TRUE,TRUE,TRUE,
,,Dame,Changeup,FALSE,TRUE,1,1,1,TRUE,TRUE,TRUE,
,,Dame,Slider,FALSE,FALSE,1,2,1,TRUE,TRUE,TRUE,
,,Dame,4-seam fastball,FALSE,FALSE,2,2,1,TRUE,TRUE,TRUE,
,,Dame,4-seam fastball,FALSE,FALSE,3,2,1,TRUE,TRUE,TRUE,
Dame,Darius,T. Burton,4-seam fastball,TRUE,TRUE,0,0,0,FALSE,FALSE,FALSE,
,,Dom,Changeup,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,
,,Dom,4-seam fastball,FALSE,FALSE,1,0,0,TRUE,FALSE,FALSE,
,,Dom,4-seam fastball,FALSE,FALSE,2,0,0,TRUE,FALSE,FALSE,
,,Dom,4-seam fastball,FALSE,TRUE,3,0,0,TRUE,FALSE,FALSE,
,,Dom,4-seam fastball,TRUE,TRUE,3,1,0,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,Horn,Curveball,FALSE,FALSE,1,0,0,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,FALSE,FALSE,2,0,0,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,FALSE,FALSE,3,0,,FALSE,FALSE,FALSE,BB
,,Dex,4-seam fastball,TRUE,TRUE,0,0,0,TRUE,FALSE,FALSE,
,,Dex,4-seam fastball,TRUE,TRUE,0,1,,TRUE,FALSE,FALSE,
,,Dex,4-seam fastball,TRUE,TRUE,0,2,,FALSE,FALSE,FALSE,
Parker,Peter,B.Burton,4-seam fastball,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,B.Burton,4-seam fastball,TRUE,TRUE,1,0,0,FALSE,FALSE,FALSE,
,,B.Burton,Slider,TRUE,TRUE,1,1,0,FALSE,FALSE,FALSE,
,,Jax,4-seam fastball,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,
,,Jax,4-seam fastball,FALSE,FALSE,1,0,0,FALSE,FALSE,FALSE,
,,Jax,4-seam fastball,FALSE,FALSE,2,0,0,FALSE,FALSE,FALSE,
,,Jax,4-seam fastball,FALSE,FALSE,3,0,0,FALSE,FALSE,FALSE,BB
,,Dame,4-seam fastball,FALSE,FALSE,0,0,0,TRUE,TRUE,FALSE,
,,Dame,4-seam fastball,TRUE,TRUE,1,0,0,FALSE,FALSE,FALSE,
,,Dame,Slider,TRUE,FALSE,1,1,0,FALSE,FALSE,FALSE,
,,Dame,Curveball,FALSE,TRUE,1,2,0,FALSE,FALSE,FALSE,
,,Dame,Curveball,TRUE,TRUE,1,2,,FALSE,FALSE,FALSE,
,,T. Burton,Slider,FALSE,FALSE,0,0,1,FALSE,TRUE,TRUE,
,,T. Burton,Curveball,FALSE,FALSE,1,0,1,FALSE,FALSE,FALSE,
,,T. Burton,4-seam fastball,FALSE,FALSE,2,0,1,FALSE,FALSE,FALSE,
,,T. Burton,4-seam fastball,TRUE,TRUE,3,0,1,FALSE,FALSE,FALSE,
,,T. Burton,4-seam fastball,TRUE,TRUE,3,1,1,FALSE,FALSE,FALSE,
,,Dom,Curveball,TRUE,TRUE,0,0,2,FALSE,TRUE,TRUE,
,,Horn,2-seam fastball,FALSE,FALSE,0,0,2,TRUE,FALSE,FALSE,
,,Horn,Curveball,TRUE,TRUE,1,0,2,FALSE,FALSE,FALSE,
Dame,Fast,Dex,4-seam fastball,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,Dex,4-seam fastball,FALSE,TRUE,1,0,0,FALSE,FALSE,FALSE,
,,Dex,Slider,FALSE,TRUE,1,1,0,FALSE,FALSE,FALSE,
,,Dex,Slider,TRUE,TRUE,1,2,0,FALSE,FALSE,FALSE,
,,Dex,2-seam fastball,FALSE,TRUE,1,2,0,FALSE,FALSE,FALSE,
,,B.Burton,4-seam fastball,FALSE,FALSE,0,0,1,FALSE,FALSE,FALSE,
,,B.Burton,4-seam fastball,TRUE,TRUE,1,0,,FALSE,FALSE,FALSE,
,,Jax,4-seam fastball,TRUE,TRUE,0,0,2,FALSE,FALSE,FALSE,
